poiid,Nome,Latitude,Longitude
1,Padrão Sul,-16.6830791,-49.251833
2,Hotel Addres West Side Hotel Presidente,-16.6882486,-49.2645996
3,Castro's Park Hotel,-16.6793898,-49.2673786
4,Lavanderia 5 à Sec,-16.6888826,-49.2647711
5,Mercure,-16.6800339,-49.2666472
6,Papelaria Tributária,-16.684717,-49.2642712
7,Papillon Hotel,-16.6818673,-49.2666061
8,Richesse Confeitaria,-16.6809377,-49.2669129
9,Haikar,-16.7081502,-49.2642297
10,,-16.7067783,-49.2642573
11,Honda,-16.7039572,-49.2412146
12,Renauto,-16.7055241,-49.2390841
13,Casa Goianita,-16.6853559,-49.2587394
14,Crystal Plaza Hotel,-16.68264,-49.2576734
15,Fujioka,-16.6845078,-49.2635873
16,HDI Seguros,-16.6892477,-49.2613633
17,Pinauto,-16.6988495,-49.2683846
18,Pinauto,-16.6991592,-49.2688002
19,Plaza Inn Hotel,-16.6911217,-49.2654232
20,Saga,-16.6905951,-49.2759306
21,Saga,-16.691341,-49.2768858
22,HMB Saga,-16.7042003,-49.2748642
23,Senador Office,-16.6978778,-49.2670613
24,Tropical Pneus,-16.6853936,-49.2666141
25,Ventura Interiores,-16.6980714,-49.2673342
26,Panificadora Ponto Quente,-16.6891911,-49.2724177
27,Hotel Maione,-16.7079397,-49.2542911
28,Hiper Moreira,-16.6869409,-49.2824835
29,Citroen,-16.7032131,-49.2656218
30,Colégio Mega,-16.7074282,-49.2704321
31,Cultura Inglesa,-16.7071479,-49.2707059
32,Faculdade Araguaia,-16.7071496,-49.270129
33,Fujioka,-16.7048762,-49.2677554
34,Instituto Carlos André,-16.705738,-49.2730423
35,Arena Ensino Médio,-16.7060779,-49.272879
36,Saint Martin,-16.7037491,-49.2655127
37,Uptime,-16.7070716,-49.2706609
38,Billabong,-16.7076377,-49.2730969
39,Brooksfield,-16.7078007,-49.2731663
40,Calvin Klein,-16.6951973,-49.2654385
41,Carmen Steffens,-16.6952154,-49.2653426
42,Centauro,-16.6954425,-49.2655722
43,Colégio da Polícia Militar de Goiás - Hugo de Carvalho Ramos,-16.6997037,-49.2428931
44,Ellus,-16.70785,-49.2730835
45,Escola Internacional de Goiânia,-16.6952162,-49.2661456
46,Flávio's Calçados,-16.7079014,-49.2727275
47,Fujioka,-16.6953169,-49.2655583
