de ,para,tdeslocamento
17,7,120
17,8,120
17,9,120
17,10,120
17,11,120
17,12,120
17,13,120
17,15,120
17,16,120
17,18,120
17,19,120
17,20,120
18,1,120
18,2,120
18,3,120
18,4,120
18,5,120
18,6,120
18,7,120
18,8,120
18,9,120
18,10,120
18,11,120
18,12,120
18,13,120
18,15,120
18,16,120
18,17,120
18,19,120
18,20,120
19,1,120
19,2,120
19,3,120
19,4,120
19,5,120
19,6,120
19,7,120
19,8,120
19,9,120
19,10,120
19,11,120
19,12,120
19,13,120
19,15,120
19,16,7216.49
19,17,7043.32
19,18,669216
19,20,6957.07
19,20,5189.95
20,1,3426.55
20,2,4754.31
20,3,598609
20,4,3680.33
20,5,4217.5
20,6,120
20,7,120
20,8,4551.19
20,9,2665.64
20,10,4232.19
20,11,3290.7
20,12,1885.88
20,13,2304.38
20,15,868637
20,16,1051.66
20,17,2375.14
20,18,7153.85
20,19,363003
